Input Query,Input Expected Name,Input Expected SKU,Input Expected Position,Actual Product Name,Actual SKU,Actual Position,Position Match,Position Status,Where Found
"Depth Micrometer","Starrett PT99308 | -150mm Depth Micrometer Rod for 446M Depth Micrometers",30024667,1,"Starrett PT99396 | -150mm Depth Micrometer Rod for 446M Depth Micrometers",30024448,No Record Found For Expected SKU :- 30024667,Not Match,Position Mismatch,Not Found in Results
"Depth Micrometer","Starrett PT99115 | 0"-1" Depth Micrometer Rod for 449 Depth Micrometers",30024380,2,"Starrett PT99115 | 0"-1" Depth Micrometer Rod for 449 Depth Micrometers",30024380,2,Match,Exact Match,Position 2
"Depth Micrometer","Starrett PT99116 | 1"-2" Depth Micrometer Rod for 449 Depth Micrometers",30024381,3,"Starrett PT99116 | 1"-2" Depth Micrometer Rod for 449 Depth Micrometers",30024381,3,Match,Exact Match,Position 3
"Depth Micrometer","Starrett PT99117 | 2"-3" Depth Micrometer Rod for 449 Depth Micrometers",30024382,4,"Starrett PT99117 | 2"-3" Depth Micrometer Rod for 449 Depth Micrometers",30024382,4,Match,Exact Match,Position 4
"Depth Micrometer","Starrett PT99118 | 3"-4" Depth Micrometer Rod for 449 Depth Micrometers",30024383,5,"Starrett PT99118 | 3"-4" Depth Micrometer Rod for 449 Depth Micrometers",30024383,5,Match,Exact Match,Position 5
"Depth Micrometer","Starrett PT99119 | 4"-5" Depth Micrometer Rod for 449 Depth Micrometers",30024384,6,"Starrett PT99119 | 4"-5" Depth Micrometer Rod for 449 Depth Micrometers",30024384,6,Match,Exact Match,Position 6
"Depth Micrometer","Starrett PT99333 | 2"-3" Depth Micrometer Rod for 440 Depth Micrometers",30024400,7,"Starrett PT99120 | 5"-6" Depth Micrometer Rod for 449 Depth Micrometers",30024385,16,Mismatch,Position Mismatch,Position 16
"Depth Micrometer","Starrett PT99143 | 0mm-25mm Depth Micrometer Rod for 749M Depth Micrometers",30024386,8,"Starrett PT99143 | 0mm-25mm Depth Micrometer Rod for 749M Depth Micrometers",30024386,8,Match,Exact Match,Position 8
"Depth Micrometer","Starrett PT99183 | 25mm-50mm Depth Micrometer Rod for 749M Depth Micrometers",30024387,9,"Starrett PT99183 | 25mm-50mm Depth Micrometer Rod for 749M Depth Micrometers",30024387,9,Match,Exact Match,Position 9
"Depth Micrometer","Starrett PT99190 | 50mm-75mm Depth Micrometer Rod for 749M Depth Micrometers",30024388,10,"Starrett PT99190 | 50mm-75mm Depth Micrometer Rod for 749M Depth Micrometers",30024388,10,Match,Exact Match,Position 10
"Depth Micrometer","Starrett PT99266 | 75mm-100mm Depth Micrometer Rod for 749M Depth Micrometers",30024389,11,"Starrett PT99266 | 75mm-100mm Depth Micrometer Rod for 749M Depth Micrometers",30024389,11,Match,Exact Match,Position 11
"Depth Micrometer","Starrett PT99267 | 100mm-125mm Depth Micrometer Rod for 749M Depth Micrometers",30024390,12,"Starrett PT99267 | 100mm-125mm Depth Micrometer Rod for 749M Depth Micrometers",30024390,12,Match,Exact Match,Position 12
"Depth Micrometer","Starrett PT99268 | 125mm-150mm Depth Micrometer Rod for 749M Depth Micrometers",30024391,13,"Starrett PT99268 | 125mm-150mm Depth Micrometer Rod for 749M Depth Micrometers",30024391,13,Match,Exact Match,Position 13
"Depth Micrometer","Starrett PT99331 | 0"-1" Depth Micrometer Rod for 440 Depth Micrometers",30024398,14,"Starrett PT99331 | 0"-1" Depth Micrometer Rod for 440 Depth Micrometers",30024398,14,Match,Exact Match,Position 14
"Depth Micrometer","Starrett PT99332 | 1"-2" Depth Micrometer Rod for 440 Depth Micrometers",30024399,15,"Starrett PT99332 | 1"-2" Depth Micrometer Rod for 440 Depth Micrometers",30024399,15,Match,Exact Match,Position 15
"Depth Micrometer","Starrett PT99120 | 5"-6" Depth Micrometer Rod for 449 Depth Micrometers",30024385,16,"Starrett PT99333 | 2"-3" Depth Micrometer Rod for 440 Depth Micrometers",30024400,7,Mismatch,Position Mismatch,Position 7
"Depth Micrometer","Starrett PT99334 | 3"-4" Depth Micrometer Rod for 440 Depth Micrometers",30024401,17,"Starrett PT99334 | 3"-4" Depth Micrometer Rod for 440 Depth Micrometers",30024401,17,Match,Exact Match,Position 17
"Depth Micrometer","Starrett PT99335 | 4"-5" Depth Micrometer Rod for 440 Depth Micrometers",30024402,18,"Starrett PT99335 | 4"-5" Depth Micrometer Rod for 440 Depth Micrometers",30024402,18,Match,Exact Match,Position 18
"Depth Micrometer","Starrett PT99336 | 5"-6" Depth Micrometer Rod for 440 Depth Micrometers",30024403,19,"Starrett PT99336 | 5"-6" Depth Micrometer Rod for 440 Depth Micrometers",30024403,19,Match,Exact Match,Position 19
"Depth Micrometer","Starrett PT99357 | 6"-7" Depth Micrometer Rod for 440 Depth Micrometers",30024424,20,"Starrett PT99337 | 6"-7" Depth Micrometer Rod for 440 Depth Micrometers",30024404,No Record Found For Expected SKU :- 30024424,Not Match,Position Mismatch,Not Found in Results
"Depth Micrometer","Starrett PT99338 | 7"-8" Depth Micrometer Rod for 440 Depth Micrometers",30024405,21,"Starrett PT99338 | 7"-8" Depth Micrometer Rod for 440 Depth Micrometers",30024405,21,Match,Exact Match,Position 21
"Depth Micrometer","Starrett PT99339 | 8"-9" Depth Micrometer Rod for 440 Depth Micrometers",30024406,22,"Starrett PT99339 | 8"-9" Depth Micrometer Rod for 440 Depth Micrometers",30024406,22,Match,Exact Match,Position 22
"Depth Micrometer","Starrett PT99361 | 0mm-25mm Depth Micrometer Rod for 440M Depth Micrometers",30024419,23,"Starrett PT99361 | 0mm-25mm Depth Micrometer Rod for 440M Depth Micrometers",30024419,23,Match,Exact Match,Position 23
"Depth Micrometer","Starrett PT99362 | 25mm-50mm Depth Micrometer Rod for 440M Depth Micrometers",30024420,24,"Starrett PT99362 | 25mm-50mm Depth Micrometer Rod for 440M Depth Micrometers",30024420,24,Match,Exact Match,Position 24
