Input Query,Input Expected Name,Actual Product Name,Input Expected SKU,Actual SKU,Input Expected Position,Actual Position,Position Match,First Page Count,First Page Coverage %,NDCG Score,NDCG@5,NDCG@10,NDCG@20
"123 block","All Industrial 55525 | Matched Pair Ultra Precision 1-2-3 Blocks No Holes 0.0001"" Machinist 123 Jig","All Industrial 1-2-3 Block Pair 23 Hole and 1/8 10 pc.Thin Parallel Set","30000214","30050501","1","3","Mismatch","8 of 8","100.0%","0.7755","0.5314","0.7755","0.7755"
"123 block","All Industrial 55500 | 1 Matched Pair Ultra Precision 1-2-3 Blocks 23 Holes 0.0002"" Machinist 123 Jig","Colton Industrial Tools 10078 | High Precision 1-2-3 Block Set 23 Holes and Cap Bolts","30000212","30051133","2","4","Mismatch","","","","","",""
"123 block","All Industrial 55510 | 1 Pair Ultra Precision TiN Coated 1-2-3 Blocks","All Industrial 55525 | Matched Pair Ultra Precision 1-2-3 Blocks No Holes 0.0001"" Machinist 123 Jig","30023443","30000214","3","5","Mismatch","","","","","",""
"123 block","All Industrial 1-2-3 Block Pair 23 Hole and 1/8 10 pc.Thin Parallel Set","All Industrial 55500 | 1 Matched Pair Ultra Precision 1-2-3 Blocks 23 Holes 0.0002"" Machinist 123 Jig","30050501","30000212","4","1","Mismatch","","","","","",""
"123 block","Colton Industrial Tools 10078 | High Precision 1-2-3 Block Set 23 Holes and Cap Bolts","All Industrial 55510 | 1 Pair Ultra Precision TiN Coated 1-2-3 Blocks","30051133","30023443","5","2","Mismatch","","","","","",""
"123 block","All Industrial 55550 | 8pc Precision 123 Blocks and Screw Clamping Set","All Industrial 55550 | 8pc Precision 123 Blocks and Screw Clamping Set","30023446","30023446","6","6","Match","","","","","",""
"123 block","Colton Industrial Tools 10075 | Magnetic 123 Blocks Ultra Precision Matched Set","Colton Industrial Tools 10075 | Magnetic 123 Blocks Ultra Precision Matched Set","30027501","30027501","7","7","Match","","","","","",""
"123 block","All Industrial 55502 | 1-2-3 Blocks with Case 23 Hole Ultra Precision 0.0001"" Tolerance","All Industrial 55502 | 1-2-3 Blocks with Case 23 Hole Ultra Precision 0.0001"" Tolerance","30023618","30023618","8","8","Match","","","","","",""
"123 block","","STM 225710 | 4"" OAL x 3-1/2"" Width V-Block","","30122314","9","","","","","","","",""
"123 block","","STM 231078 | 2-3/4"" OAL x 2-1/2"" Width V-Block","","30122363","10","","","","","","","",""
"123 block","","STM 231082 | 3-19/32"" OAL x 1-7/8"" Width V-Block","","30122364","11","","","","","","","",""
"123 block","","STM 231088 | 3-3/16"" OAL x 2-3/8"" Width V-Block","","30122367","12","","","","","","","",""
"123 block","","STM 231090 | 3-3/16"" OAL x 2-3/8"" Width V-Block","","30122368","13","","","","","","","",""
"123 block","","STM 231120 | 120 OAL x 35.00mm Width V-Block","","30122381","14","","","","","","","",""
"123 block","","STM 370556 | 2"" OAL x 1-7/8"" Width V-Block","","30122729","15","","","","","","","",""
"123 block","","STM 231072 | 1-19/32"" OAL x 1-1/4"" Width V-Block","","30122360","16","","","","","","","",""
"123 block","","STM 231076 | 2-3/4"" OAL x 1-3/4"" Width V-Block","","30122362","17","","","","","","","",""
"123 block","","STM 231118 | 100 OAL x 30.00mm Width V-Block","","30122380","18","","","","","","","",""
"123 block","","Seco Tools 03002502 | 150.10-3232-25JETI Indexable CutOff Blade Tool Block","","23284352","19","","","","","","","",""
"123 block","","STM 333876 | 2-1/2"" Height x 1"" Width Steel Step Block","","50034434","20","","","","","","","",""
"123 block","","STM 333878 | 4"" Height x 1-1/2"" Width Steel Step Block","","50034436","21","","","","","","","",""
"123 block","","STM 333880 | 9"" Height x 1-1/2"" Width Steel Step Block","","50034438","22","","","","","","","",""
"123 block","","STM 333879 | 6"" Height x 1-1/2"" Width Steel Step Block","","50034437","23","","","","","","","",""
"123 block","","3M 7100272155 | 952 2-3/16"" Length x 6"" Width Hand Block","","45033447","24","","","","","","","",""


"3 jaw chuck","STM 4440504 | 3"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440504 | 3"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034538","50034538","1","1","Match","21 of 24","87.5%","0.9527","1.0000","0.8602","0.8271"
"3 jaw chuck","STM 4440505 | 4"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440505 | 4"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034539","50034539","2","2","Match","","","","","",""
"3 jaw chuck","STM 4440510 | 5"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440510 | 5"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034540","50034540","3","3","Match","","","","","",""
"3 jaw chuck","STM 4440515 | 6"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440515 | 6"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034541","50034541","4","4","Match","","","","","",""
"3 jaw chuck","STM 4440520 | 8"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440520 | 8"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034542","50034542","5","5","Match","","","","","",""
"3 jaw chuck","STM 4440525 | 10"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440525 | 10"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034543","50034543","6","6","Match","","","","","",""
"3 jaw chuck","STM 4440710 | 6"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440530 | 12"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034545","50034544","7","8","Mismatch","","","","","",""
"3 jaw chuck","STM 4440715 | 8"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440710 | 6"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034546","50034545","8","9","Mismatch","","","","","",""
"3 jaw chuck","STM 4440720 | 10"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440715 | 8"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034547","50034546","9","10","Mismatch","","","","","",""
"3 jaw chuck","STM 4440725 | 12"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440720 | 10"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034548","50034547","10","11","Mismatch","","","","","",""
"3 jaw chuck","STM 4440910 | 6"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440725 | 12"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034551","50034548","11","13","Mismatch","","","","","",""
"3 jaw chuck","STM 4440920 | 8"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440730 | 16"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034552","50034549","12","14","Mismatch","","","","","",""
"3 jaw chuck","STM 4440940 | 10"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440910 | 6"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034555","50034551","13","16","Mismatch","","","","","",""
"3 jaw chuck","STM 4440950 | 12"" Size 3 Jaw Cast Iron Manual Lathe Chuck","STM 4440920 | 8"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50034556","50034552","14","17","Mismatch","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL8-A6 | 8"" 3 Jaw Power Chuck A-6 Mount","STM 4440930 | 8"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50000097","50034554","15","30","Mismatch","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL10-A6 | 10"" 3 Jaw Power Chuck A-6 Mount","STM 4440940 | 10"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50000080","50034555","16","31","Mismatch","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL10-A8 | 10"" 3 Jaw Power Chuck A-8 Mount","STM 4440950 | 12"" Size 3 Jaw Cast Iron Manual Lathe Chuck","50000081","50034556","17","32","Mismatch","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL12-A11 | 12"" 3 Jaw Power Chuck A-11 Mount","Pratt Burnerd America ATL12-A11 | 12"" 3 Jaw Power Chuck A-11 Mount","50000082","50000082","18","18","Match","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL12-A6 | 12"" 3 Jaw Power Chuck A-6 Mount","Pratt Burnerd America ATL12-A6 | 12"" 3 Jaw Power Chuck A-6 Mount","50000083","50000083","19","19","Match","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL12-A8 | 12"" 3 Jaw Power Chuck A-8 Mount","Pratt Burnerd America ATL12-A8 | 12"" 3 Jaw Power Chuck A-8 Mount","50000084","50000084","20","20","Match","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL15-A11 | 15"" 3 Jaw Power Chuck A-11 Mount","Pratt Burnerd America ATL15-A11 | 15"" 3 Jaw Power Chuck A-11 Mount","50000085","50000085","21","21","Match","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL15-A8 | 15"" 3 Jaw Power Chuck A-8 Mount","Pratt Burnerd America ATL15-A8 | 15"" 3 Jaw Power Chuck A-8 Mount","50000086","50000086","22","22","Match","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL18-A11 | 18"" 3 Jaw Power Chuck A-11 Mount","Pratt Burnerd America ATL18-A11 | 18"" 3 Jaw Power Chuck A-11 Mount","50000087","50000087","23","23","Match","","","","","",""
"3 jaw chuck","Pratt Burnerd America ATL21-A11 | 21"" 3 Jaw Power Chuck A-11 Mount","Pratt Burnerd America ATL21-A11 | 21"" 3 Jaw Power Chuck A-11 Mount","50000090","50000090","24","24","Match","","","","","",""
"3 jaw chuck","","Pratt Burnerd America ATL21-A15 | 21"" 3 Jaw Power Chuck A-15 Mount","","50000091","25","","","","","","","",""
"3 jaw chuck","","Pratt Burnerd America ATL24-A11 | 24"" 3 Jaw Power Chuck A-11 Mount","","50000092","26","","","","","","","",""
"3 jaw chuck","","Pratt Burnerd America ATL24-A15 | 24"" 3 Jaw Power Chuck A-15 Mount","","50000093","27","","","","","","","",""
"3 jaw chuck","","Pratt Burnerd America ATL6-A5 | 6"" 3 Jaw Power Chuck A-5 Mount","","50000095","28","","","","","","","",""
"3 jaw chuck","","Pratt Burnerd America ATL8-A5 | 8"" 3 Jaw Power Chuck A-5 Mount","","50000096","29","","","","","","","",""
"3 jaw chuck","","Pratt Burnerd America ATL8-A6 | 8"" 3 Jaw Power Chuck A-6 Mount","","50000097","30","","","","","","","",""
"3 jaw chuck","","Pratt Burnerd America ATL10-A6 | 10"" 3 Jaw Power Chuck A-6 Mount","","50000080","31","","","","","","","",""
"3 jaw chuck","","Pratt Burnerd America ATL10-A8 | 10"" 3 Jaw Power Chuck A-8 Mount","","50000081","32","","","","","","","",""
"3 jaw chuck","","All Industrial 47766 | Self-Centering Lathe Chuck Plain Back 5"" 3-Jaw Hardened","","50000129","33","","","","","","","",""
"3 jaw chuck","","All Industrial 47760 | Self-Centering Lathe Chuck Plain Back 4"" 3-Jaw Hardened","","50000128","34","","","","","","","",""
"3 jaw chuck","","All Industrial 47700 | Self-Centering Lathe Chuck Plain Back 2"" 3-Jaw M14-1 Hardened","","50000121","35","","","","","","","",""
"3 jaw chuck","","All Industrial 47702 | Self-Centering Lathe Chuck Plain Back 2"" 3-Jaw 1/2""-20 Hardened","","50000122","36","","","","","","","",""
"3 jaw chuck","","All Industrial 47704 | Self-Centering Lathe Chuck Plain Back 2"" 3-Jaw 3/4""-16 Hardened","","50000123","37","","","","","","","",""
"3 jaw chuck","","All Industrial 47770 | Self-Centering Lathe Chuck Plain Back 6"" 3-Jaw D1-3 Hardened","","50000130","38","","","","","","","",""
"3 jaw chuck","","Royal Products 73120 | Albrecht 3 MT Shank Type x 1/32"" - 1/2"" Capacity Classic-Plus Keyless Drill Chuck with Integral Shank and Diamond-Coated Jaw","","55048400","39","","","","","","","",""
"3 jaw chuck","","Colton Industrial Tools 30008 | 1/8"" - 3/4"" Capacity Heavy-Duty Ball Bearing Keyed Chuck 4JT Taper Mount TiN Coated Jaws","","55026407","40","","","","","","","",""
"3 jaw chuck","","Lyndex-Nikken B4007-0100-3.50 | BT40 Collet Chuck","","55090481","41","","","","","","","",""
"3 jaw chuck","","Lyndex-Nikken B4007-0200-3.00 | BT40 Collet Chuck","","55090483","42","","","","","","","",""
"3 jaw chuck","","Lyndex-Nikken B4007-0300-3.00 | BT40 Collet Chuck","","55090484","43","","","","","","","",""
"3 jaw chuck","","Lyndex-Nikken B4007-0750-3.00 | BT40 Collet Chuck","","55090485","44","","","","","","","",""
"3 jaw chuck","","Lyndex-Nikken B4007-1000-3.50 | BT40 Collet Chuck","","55090486","45","","","","","","","",""
"3 jaw chuck","","Lyndex-Nikken B5007-1000-3.50 | BT50 Collet Chuck","","55090498","46","","","","","","","",""
"3 jaw chuck","","Lyndex-Nikken C4007-0100-3.50 | CAT40 Collet Chuck","","55090885","47","","","","","","","",""
"3 jaw chuck","","Lyndex-Nikken C4007-0200-3.00 | CAT40 Collet Chuck","","55090887","48","","","","","","","",""


"5c collet set","All Industrial 41282 | 15pc 5C Collet Set Fractional 1/8"" to 1"" High Precision","Pratt Burnerd America 0123-SET-5 | Crawford 33pc 5C Collet Set- 1/16"" -1-1/16"" X 32nds","40000388","55000145","1","2","Mismatch","23 of 24","95.8%","0.9407","0.8156","0.9202","0.9113"
"5c collet set","Pratt Burnerd America 0123-SET-5 | Crawford 33pc 5C Collet Set- 1/16"" -1-1/16"" X 32nds","All Industrial 41282 | 15pc 5C Collet Set Fractional 1/8"" to 1"" High Precision","55000145","40000388","2","1","Mismatch","","","","","",""
"5c collet set","Pratt Burnerd America 0123-SET-1 | Crawford 49pc 5C Collet Set- 3mm - 27mm X .5mm","Pratt Burnerd America 0123-SET-1 | Crawford 49pc 5C Collet Set- 3mm - 27mm X .5mm","55000142","55000142","3","3","Match","","","","","",""
"5c collet set","Pratt Burnerd America 0123-SET-2 | Crawford 25pc 5C Collet Set- 3mm - 27mm X 1mm","Pratt Burnerd America 0123-SET-2 | Crawford 25pc 5C Collet Set- 3mm - 27mm X 1mm","55000143","55000143","4","4","Match","","","","","",""
"5c collet set","Pratt Burnerd America 0123-SET-4 | Crawford 65pc 5C Collet Set- 1/16"" - 1-1/16"" X 64ths","Pratt Burnerd America 0123-SET-4 | Crawford 65pc 5C Collet Set- 1/16"" - 1-1/16"" X 64ths","55000144","55000144","5","5","Match","","","","","",""
"5c collet set","Pratt Burnerd America 0123-SET-6 | Crawford 17pc 5C Collet Set- 1/16"" - 1-1/16"" X 16ths","Pratt Burnerd America 0123-SET-6 | Crawford 17pc 5C Collet Set- 1/16"" - 1-1/16"" X 16ths","55000146","55000146","6","6","Match","","","","","",""
